NAME,LATITUDE,LONGITUDE,AMOUNT
ARGOSY UNIVERSITY-ATLANTA,33.92030873,-84.3554557,0
ARGOSY UNIVERSITY-CHICAGO,41.88600618,-87.62377194,0
ARGOSY UNIVERSITY-DALLAS,32.928188,-96.823294,0
ARGOSY UNIVERSITY-DENVER,39.656379,-104.901822,0
ARGOSY UNIVERSITY-INLAND EMPIRE,34.06676628,-117.578045,0
ARGOSY UNIVERSITY-LOS ANGELES,33.92828,-118.373216,0
ARGOSY UNIVERSITY-NASHVILLE,36.154664,-86.634674,0
ARGOSY UNIVERSITY-NORTHERN VIRGINIA,38.89427198,-77.07592728,0
ARGOSY UNIVERSITY-ORANGE COUNTY,33.779031,-117.897077,0
ARGOSY UNIVERSITY-PHOENIX,33.56690014,-112.1074548,0
ARGOSY UNIVERSITY-PHOENIX ONLINE DIVISION,33.56681658,-112.107494,0
ARGOSY UNIVERSITY-SALT LAKE CITY,40.5343444,-111.8955355,0
ARGOSY UNIVERSITY-SAN DIEGO,32.77534413,-117.1577333,0
ARGOSY UNIVERSITY-SAN FRANCISCO BAY AREA,37.78123769,-122.2675233,0
ARGOSY UNIVERSITY-SARASOTA,27.35139372,-82.46536286,0
ARGOSY UNIVERSITY-SCHAUMBURG,42.04673913,-88.04208285,0
ARGOSY UNIVERSITY-SEATTLE,47.61392403,-122.3517341,0
ARGOSY UNIVERSITY-TAMPA,27.95516574,-82.48254461,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-HOLLYWOOD,34.16675272,-118.3752798,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-INLAND EMPIRE,34.07196646,-117.2706845,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-LOS ANGELES,34.01841305,-118.451453,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-ORANGE COUNTY,33.69637141,-117.9180587,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SACRAMENTO,38.62175268,-121.5178098,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SAN DIEGO,32.7782783,-117.1553951,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SAN FRANCISCO,37.77935441,-122.4145181,0
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SILICON VALLEY,37.3731701,-121.9993796,0
ARGOSY UNIVERSITY-TWIN CITIES,44.83728386,-93.17387125,0
ARIA HEALTH SCHOOL OF NURSING,40.12509375,-74.9783463,0
ARIZONA ACADEMY OF BEAUTY-EAST,32.23725323,-110.8723045,0
ARIZONA AUTOMOTIVE INSTITUTE,33.53724884,-112.1573439,0
ARIZONA BOARD OF REGENTS,33.47024464,-112.0745598,0
ARIZONA CHRISTIAN UNIVERSITY,33.59511694,-112.026211,0
ARIZONA COLLEGE-GLENDALE,33.56636021,-112.1542327,0
ARIZONA COLLEGE-LAS VEGAS,36.1456,-115.171331,0
ARIZONA COLLEGE-MESA,33.41837434,-111.8734278,0
ARIZONA CULINARY INSTITUTE,33.58193481,-111.8312366,0
ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,32.26454,-110.929193,0
